TagID,Corner,CameraCombos,NumCameras,Expected_X,Expected_Y,Expected_Z,Calc_X,Error_X,Calc_Y,Error_Y,Calc_Z,Error_Z,Total_Error_cm,Status
21,3,camNorth+camWest,2,233.30,182.50,4.00,232.75,0.55,187.81,5.31,5.79,1.79,5.63,OK
21,3,camEast+camSouth,2,233.30,182.50,4.00,231.63,1.67,181.71,0.79,3.86,0.14,1.85,OK
21,3,camEast+camWest,2,233.30,182.50,4.00,233.20,0.10,182.64,0.14,5.98,1.98,1.98,OK
21,3,camSouth+camWest,2,233.30,182.50,4.00,234.99,1.69,183.09,0.59,5.04,1.04,2.07,OK
21,3,camNorth+camEast+camSouth,3,233.30,182.50,4.00,228.87,4.43,182.58,0.08,4.85,0.85,4.51,OK
21,3,camNorth+camEast+camWest,3,233.30,182.50,4.00,232.25,1.05,185.34,2.84,6.52,2.52,3.94,OK
21,3,camNorth+camSouth+camWest,3,233.30,182.50,4.00,230.65,2.65,183.78,1.28,4.58,0.58,3.00,OK
21,3,camEast+camSouth+camWest,3,233.30,182.50,4.00,233.27,0.03,182.48,0.02,4.96,0.96,0.96,OK
21,3,camNorth+camEast+camSouth+camWest,4,233.30,182.50,4.00,231.26,2.04,183.54,1.04,5.23,1.23,2.60,OK
22,0,camNorth+camEast,2,211.80,235.50,4.00,208.73,3.07,240.41,4.91,8.23,4.23,7.18,OK
22,0,camNorth+camSouth,2,211.80,235.50,4.00,197.39,14.41,231.36,4.14,1.31,2.69,15.23,OK
22,0,camEast+camSouth,2,211.80,235.50,4.00,209.63,2.17,234.78,0.72,3.60,0.40,2.32,OK
22,0,camNorth+camEast+camSouth,3,211.80,235.50,4.00,205.25,6.55,235.52,0.02,4.38,0.38,6.56,OK
22,1,camNorth+camEast,2,211.80,214.00,4.00,208.57,3.23,218.20,4.20,8.15,4.15,6.72,OK
22,1,camNorth+camSouth,2,211.80,214.00,4.00,199.11,12.69,210.65,3.35,1.92,2.08,13.29,OK
22,1,camEast+camSouth,2,211.80,214.00,4.00,209.59,2.21,213.17,0.83,3.65,0.35,2.39,OK
22,1,camNorth+camEast+camSouth,3,211.80,214.00,4.00,205.76,6.04,214.00,0.00,4.57,0.57,6.07,OK
22,2,camNorth+camEast,2,233.30,214.00,4.00,231.16,2.14,218.40,4.40,8.16,4.16,6.42,OK
22,2,camNorth+camSouth,2,233.30,214.00,4.00,222.33,10.97,211.14,2.86,2.27,1.73,11.47,OK
22,2,camEast+camSouth,2,233.30,214.00,4.00,231.78,1.52,213.40,0.60,3.80,0.20,1.64,OK
22,2,camNorth+camEast+camSouth,3,233.30,214.00,4.00,228.43,4.87,214.31,0.31,4.74,0.74,4.94,OK
22,3,camNorth+camEast,2,233.30,235.50,4.00,231.36,1.94,240.68,5.18,8.33,4.33,7.02,OK
22,3,camNorth+camSouth,2,233.30,235.50,4.00,220.81,12.49,231.97,3.53,1.74,2.26,13.17,OK
22,3,camEast+camSouth,2,233.30,235.50,4.00,231.84,1.46,235.01,0.49,3.75,0.25,1.56,OK
22,3,camNorth+camEast+camSouth,3,233.30,235.50,4.00,228.00,5.30,235.88,0.38,4.61,0.61,5.35,OK
23,0,camSouth_SINGLE_CAM,1,0.00,205.50,204.90,-2.73,2.73,206.27,0.77,208.23,3.33,4.38,SINGLE_CAM_ESTIMATE
